Designator,Mid X,Mid Y,Layer,Rotation
R227,53.825001mm,57.825002mm,Bottom,180.0
R209,63.425001mm,57.825002mm,Bottom,180.0
R200,68.224901mm,57.825002mm,Bottom,180.0
R197,61.224901mm,46.175002mm,Bottom,0.0
R196,61.225001000000006mm,49.075002mm,Bottom,180.0
R195,58.374901mm,49.575002mm,Bottom,90.0
R191,44.674901000000006mm,49.525002mm,Bottom,90.0
R190,41.774901mm,49.525002mm,Bottom,270.0
R186,68.325001mm,46.175002mm,Bottom,0.0
R185,68.325001mm,49.075002mm,Bottom,180.0
R181,50.474901mm,49.525002mm,Bottom,90.0
R180,47.574901000000004mm,49.525002mm,Bottom,270.0
R176,56.274901mm,49.525002mm,Bottom,90.0
R175,53.37490100000001mm,49.525002mm,Bottom,270.0
R171,38.874901mm,49.525002mm,Bottom,90.0
R170,35.975001000000006mm,49.525002mm,Bottom,270.0
R139,31.725001000000006mm,58.875002mm,Top,90.0
R138,32.925001mm,58.875002mm,Top,90.0
R137,34.125001000000005mm,58.875002mm,Top,90.0
R136,35.325001mm,58.875002mm,Top,90.0
R135,31.725001000000006mm,57.875002mm,Top,270.0
R132,32.925001mm,57.875002mm,Top,270.0
R126,34.125001000000005mm,57.875002mm,Top,270.0
R124,35.325001mm,57.875002mm,Top,270.0
R119,70.625001mm,41.975002mm,Top,270.0
R118,70.625001mm,37.875001999999995mm,Top,270.0
R266,37.625001000000005mm,58.875002mm,Top,90.0
R265,38.825001mm,58.875002mm,Top,90.0
R264,40.025001mm,58.875002mm,Top,90.0
R263,41.225001000000006mm,58.875002mm,Top,90.0
R262,37.625001000000005mm,57.875002mm,Top,270.0
R261,38.825001mm,57.875002mm,Top,270.0
R260,40.025001mm,57.875002mm,Top,270.0
R259,41.225001000000006mm,57.875002mm,Top,270.0
R253,42.425001mm,58.875002mm,Top,270.0
R252,43.625001000000005mm,58.875002mm,Top,270.0
R251,44.825001mm,58.875002mm,Top,270.0
R250,46.025001mm,58.875002mm,Top,270.0
R249,42.425001mm,57.875002mm,Top,90.0
R248,43.625001000000005mm,57.875002mm,Top,90.0
R247,44.825001mm,57.875002mm,Top,90.0
R246,46.025001mm,57.875002mm,Top,90.0
R244,47.225001000000006mm,58.875002mm,Top,90.0
R243,48.425001mm,58.875002mm,Top,90.0
R242,49.625001000000005mm,58.875002mm,Top,90.0
R241,50.825001mm,58.875002mm,Top,90.0
R240,47.225001000000006mm,57.875002mm,Top,270.0
R239,48.425001mm,57.875002mm,Top,270.0
R238,49.625001000000005mm,57.875002mm,Top,270.0
R237,50.825001mm,57.875002mm,Top,270.0
R235,52.025001mm,58.875002mm,Top,270.0
R234,53.225001000000006mm,58.875002mm,Top,270.0
R233,54.425001mm,58.875002mm,Top,270.0
R232,55.625001000000005mm,58.875002mm,Top,270.0
R231,52.025001mm,57.875002mm,Top,90.0
R230,53.225001000000006mm,57.875002mm,Top,90.0
R229,54.425001mm,57.875002mm,Top,90.0
R228,55.625001000000005mm,57.875002mm,Top,90.0
R226,56.825001mm,58.875002mm,Top,90.0
R225,58.025001mm,58.875002mm,Top,90.0
R224,59.225001000000006mm,58.875002mm,Top,90.0
